system:index,defo,elevation,rand,slope,treecover2000,.geo,lon,lat,dist_to_nearest_road_m,gfw_integrated_alert_b1,gfw_integrated_alert_present,district,split,label_std,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label
000000000000000005ba,0.0,556.0,0.5582635603497297,15.0,45.0,"{""type"":""Point"",""coordinates"":[108.52763478884617,14.163019061460068]}",108.52763478884616,14.163019061460068,398.33796047651055,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000201,0.0,647.0,0.3257978288855014,29.0,45.0,"{""type"":""Point"",""coordinates"":[108.48532683805107,14.298843279548027]}",108.48532683805108,14.298843279548027,573.6730105465072,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000031c,0.0,1009.0,0.3443700239925152,36.0,45.0,"{""type"":""Point"",""coordinates"":[108.44463308183731,14.440058550809605]}",108.44463308183732,14.440058550809605,1612.1155624588491,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000117,0.0,583.0,0.7572982726115153,9.0,47.0,"{""type"":""Point"",""coordinates"":[108.49745113381537,14.136068254693038]}",108.49745113381536,14.136068254693038,355.4519930259865,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000221,0.0,1012.0,0.344693254766674,22.0,47.0,"{""type"":""Point"",""coordinates"":[108.40879082756973,14.400711443113998]}",108.40879082756972,14.400711443113998,1042.0526805424577,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000064d,0.0,619.0,0.2862905357282341,27.0,47.0,"{""type"":""Point"",""coordinates"":[108.50688659164447,14.288333178365056]}",108.50688659164447,14.288333178365056,826.8744132431403,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000271,0.0,724.0,0.3980074349423769,4.0,49.0,"{""type"":""Point"",""coordinates"":[108.4715794295033,14.196975115982058]}",108.4715794295033,14.196975115982058,76.26152254879962,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000003d9,0.0,889.0,0.2180462878484859,7.0,49.0,"{""type"":""Point"",""coordinates"":[108.48182198462307,14.341690781570591]}",108.48182198462308,14.341690781570591,24.00399495734249,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000003c3,0.0,581.0,0.089370969692737,13.0,49.0,"{""type"":""Point"",""coordinates"":[108.55323894709505,14.082438646323247]}",108.55323894709504,14.082438646323247,203.1992564453244,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000002c3,0.0,777.0,0.0510966894013383,16.0,49.0,"{""type"":""Point"",""coordinates"":[108.4696932297577,14.236857315804079]}",108.4696932297577,14.23685731580408,18.082878378861327,0.0,0,KBang,train,0,,,,,,,,,,
