system:index,district,split,lon,lat,treecover2000,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,loss_any_2001_2024,loss_first_year,label_train_period,label_test_period,defo,label,risk_baseline,risk_logreg,risk_rf,warn_top5_rf,warn_top10_rf,label_hansen_loss_any
00000000000000000860_0,KBang,train,108.46861858640382,14.212064713946916,100,827,19.691586,3116.021737858653,2587.275775269555,0,0,0,0,1.0,,0.5052790605614487,0.5030516339719797,0.22239748520606434,0,0,0
00000000000000000a76_0,KBang,train,108.4777775799676,14.210718065428775,100,664,22.825352,3116.021737858653,2587.275775269555,0,0,0,0,1.0,,0.5310887425010441,0.6738236214879081,0.3009214662251916,0,0,0
00000000000000000a88_0,KBang,train,108.47777757996758,14.20856431961996,100,754,26.160513,3116.021737858653,2587.275775269555,1,2017,1,0,1.0,,0.47751026576863326,0.5533079415071058,0.6729793658021558,0,0,1
000000000000000009c9_0,KBang,train,108.45406408056536,14.294259323665084,100,653,22.909597,3299.3934005498886,2718.926994363391,1,2017,1,0,1.0,,0.5740231535680377,0.6150332323610379,0.748299630900502,0,0,1
00000000000000000a00_0,KBang,train,108.45433162662856,14.36837404227441,100,693,33.7673,3174.5908024162054,2515.3602785260928,1,2017,1,0,1.0,,0.45034025465527455,0.6345036048848894,0.560385283071239,0,0,1
00000000000000000bea_0,KBang,train,108.43789538014558,14.258149523334282,100,717,32.818287,3954.77065885067,3193.707802749039,1,2023,0,1,1.0,,0.620917819713522,0.8097599108755613,0.6073454988458628,0,0,1
00000000000000000c2e_0,KBang,train,108.53625869028352,14.129063006938074,100,706,24.934801,3335.206618718803,2843.7770705979806,0,0,0,0,1.0,,0.5502915687886932,0.5067722205367474,0.30239396615434494,0,0,0
0000000000000000017b_0,KBang,test,108.46807903517632,14.102651751398517,32,868,32.72965,3364.3139811381698,2879.1407314955827,0,0,0,0,0.0,,0.2798224781221896,0.12725624575288103,0.31905362642517077,0,0,0
000000000000000000e5_0,KBang,test,108.5365306954478,14.349775131780486,35,842,2.939983,3361.179399266839,2766.2203726602984,0,0,0,0,0.0,,0.510518696616994,0.21793122677579702,0.3001288736447951,0,0,0
00000000000000000054_0,KBang,test,108.4292714787082,14.380498338038729,42,960,14.515092,3307.1987401247025,2646.067406310553,0,2022,0,1,0.0,,0.3927596386899727,0.16432422361903026,0.2893270171796846,0,0,0
00000000000000000004_0,KBang,test,108.4510987783648,14.292105577856267,44,590,16.643677,3299.3934005498886,2718.926994363391,1,2012,1,0,0.0,,0.49212441223520875,0.5648731932615598,0.6837222363736246,0,0,1
00000000000000000050_0,KBang,test,108.4117516706692,14.389394244640354,45,912,14.30776,3307.1987401247025,2646.067406310553,1,2024,0,1,0.0,,0.4163215380513417,0.21463253050837244,0.5671965419773217,0,0,1
00000000000000000095_0,KBang,test,108.52844634523788,14.20047551030901,48,514,6.236762,3132.610942572356,2663.5936415282367,0,0,0,0,0.0,,0.5696670775276712,0.5913695153639298,0.26240464580999534,0,0,0
00000000000000000053_0,KBang,test,108.4990697874978,14.14226640515733,49,570,3.7047918,3364.3139811381698,2879.1407314955827,0,2014,1,0,0.0,,0.6240354965016076,0.49316663888234985,0.3939782183153115,0,0,0
00000000000000000169_0,KBang,test,108.54353594320274,14.347081834744206,58,847,5.5195646,3361.179399266839,2766.2203726602984,0,0,0,0,0.0,,0.5505906855063847,0.3137051581848233,0.39994594280021983,0,0,0
00000000000000000035_0,KBang,test,108.50149553847086,14.225807663393638,58,589,20.362844,3132.610942572356,2663.5936415282367,1,2015,1,0,0.0,,0.4642019370055383,0.535117329215419,0.7921829072771857,0,1,1
00000000000000000001_0,KBang,test,108.40124156948625,14.538154314884364,59,1203,7.6196404,2982.197799295187,2381.099704130859,0,0,0,0,0.0,,0.34828958596399673,0.06187615446863128,0.18049111064295922,0,0,0
00000000000000000079_0,KBang,test,108.43924202866371,14.537886768821153,61,1123,6.7397585,2982.197799295187,2381.099704130859,0,0,0,0,0.0,,0.38245074007805474,0.09604877079782771,0.3497563120172855,0,0,0
0000000000000000012a_0,KBang,test,108.499337333561,14.174336259933712,62,584,8.091121,3179.5106303691864,2674.302724357361,0,0,0,0,0.0,,0.5814695215101867,0.6001605095235972,0.5756788895627459,0,0,0
00000000000000000111_0,KBang,test,108.46376708445769,14.243327471432629,62,785,13.679259,3116.021737858653,2587.275775269555,0,0,0,0,0.0,,0.4628499397833848,0.3499366774910806,0.5486437977975792,0,0,0
0000000000000000008d_0,KBang,test,108.50580748918954,14.241441271687018,62,574,13.430962,3132.610942572356,2663.5936415282367,1,2006,1,0,0.0,,0.5333275421688551,0.5052380623985169,0.782243578975435,0,0,1
000000000000000000e0_0,KBang,test,108.56347704311376,14.187004566026554,64,553,14.983602,2894.3183166086674,2468.456626371072,0,0,0,0,0.0,,0.48026470252434494,0.6568034231973328,0.40150903106756713,0,0,0
000000000000000000a5_0,KBang,test,108.39423632173128,14.402058091632142,65,1094,13.9222765,3230.138293027878,2568.9875608114658,0,0,0,0,0.0,,0.40047320335004033,0.12485013607297671,0.36937680033071113,0,0,0
000000000000000000d0_0,KBang,test,108.46268798200272,14.22176771783922,66,764,14.963418,3116.021737858653,2587.275775269555,0,0,0,0,0.0,,0.47005904298648243,0.4496058074577794,0.5500616665657535,0,0,0
00000000000000000148_0,KBang,test,108.48262908191371,14.364329637618932,66,874,9.898897,3174.5908024162054,2515.3602785260928,0,0,0,0,0.0,,0.4885038234933413,0.3428419111869845,0.38060968459980726,0,0,0
000000000000000000fe_0,KBang,test,108.55970464362254,14.205059466191951,67,573,5.547545,2988.904823511839,2527.354326276477,1,2003,1,0,0.0,,0.5758896535645376,0.6168791799872229,0.7349633638449967,0,0,1
00000000000000000106_0,KBang,test,108.43304387819944,14.40448384260521,68,1060,13.679303,3056.5912619680166,2430.7695342178336,1,2014,1,0,0.0,,0.383218273764485,0.13537448164612992,0.7687707884085555,0,0,1
0000000000000000003f_0,KBang,test,108.56617479925109,14.049561694256187,70,523,9.243032,2340.994156158529,2080.859696369998,1,2010,1,0,0.0,,0.427896179585093,0.537909730719634,0.8553075283496858,1,1,1
0000000000000000010e_0,KBang,test,108.43007857599888,14.319323930686505,72,879,19.99962,3878.7206017300487,3091.2550926978347,0,0,0,0,0.0,,0.5802237694865954,0.4129225428559123,0.37425738716573576,0,0,0
0000000000000000005d_0,KBang,test,108.6065965503006,14.204519914964486,72,623,27.9976,2921.3837886452675,2499.82747799868,0,0,0,0,0.0,,0.3870667865842749,0.6000065224871386,0.26958511432870946,0,0,0
00000000000000000157_0,KBang,test,108.47885668242252,14.128523455710608,74,1097,26.568718,3364.3139811381698,2879.1407314955827,0,0,0,0,0.0,,0.35793466224386883,0.0735411139203532,0.18812263415540165,0,0,0
00000000000000000080_0,KBang,test,108.4831686331412,14.059532244211692,75,876,21.013784,3222.151947184233,2767.6180477493767,0,0,0,0,0.0,,0.4366133784237152,0.2662584055335683,0.2929805324504071,0,0,0
0000000000000000003d_0,KBang,test,108.48990633483297,14.209371416910631,76,630,3.7047918,3116.021737858653,2587.275775269555,0,0,0,0,0.0,,0.6230786810736494,0.6225285020126023,0.3366418498353873,0,0,0
00000000000000000052_0,KBang,test,108.49206453974284,14.196975115982058,76,626,7.0625606,3179.5106303691864,2674.302724357361,0,0,0,0,0.0,,0.6129138860196911,0.6155242450563658,0.5733013709044524,0,0,0
000000000000000000f5_0,KBang,test,108.57398714429672,14.399092789431595,76,848,16.246239,3001.057534530759,2400.0190920016626,0,0,0,0,0.0,,0.4358991062387302,0.3869740610608091,0.29891339608316614,0,0,0
000000000000000000a8_0,KBang,test,108.60956185250112,14.475361253849735,77,834,7.302404,3348.708837583661,2705.416131240571,0,0,0,0,0.0,,0.588286810514814,0.39819227292006093,0.4986262987049849,0,0,0
00000000000000000115_0,KBang,test,108.32497756416916,14.33765083601617,78,975,25.681196,3590.371814221144,2839.256492314795,0,0,0,0,0.0,,0.4594128466090508,0.35617540707878886,0.28703542487209144,0,0,0
0000000000000000013a_0,KBang,test,108.4230733282439,14.35139378546289,78,922,29.244488,3307.1987401247025,2646.067406310553,0,0,0,0,0.0,,0.38707345205132415,0.3278279411678877,0.42449027535018063,0,0,0
00000000000000000124_0,KBang,test,108.43681627769064,14.516594561290953,81,1101,3.9367425,2982.197799295187,2381.099704130859,0,0,0,0,0.0,,0.462600512000376,0.1497100136930831,0.31955706913528864,0,0,0
00000000000000000161_0,KBang,test,108.5920465035632,14.184846361116684,81,616,8.500956,2894.3183166086674,2468.456626371072,0,0,0,0,0.0,,0.556679732235215,0.6030085082765447,0.28164983269878846,0,0,0
00000000000000000063_0,KBang,test,108.36081981843677,14.459460099493148,81,1063,20.496595,3139.124945908785,2478.474790363861,0,0,0,0,0.0,,0.3826245866880935,0.23269664585644792,0.25787930536614956,0,0,0
00000000000000000073_0,KBang,test,108.62869585512146,14.14226640515733,82,647,0.95639205,2804.7301520854235,2443.115315972568,0,0,0,0,0.0,,0.5878791517824019,0.5118574920449426,0.28913681477532344,0,0,0
00000000000000000178_0,KBang,test,108.42522707405271,14.363790086391466,82,1065,4.6273675,3307.1987401247025,2646.067406310553,0,0,0,0,0.0,,0.5429844419339409,0.19073579265062587,0.3587880817871801,0,0,0
00000000000000000012_0,KBang,test,108.46592083026648,14.386968493667275,82,967,0.0,3174.5908024162054,2515.3602785260928,0,0,0,0,0.0,,0.5791196031671001,0.28431256819578493,0.3702860764289702,0,0,0
00000000000000000031_0,KBang,test,108.38587996635712,14.422271196707412,82,1145,17.430546,3230.138293027878,2568.9875608114658,0,0,0,0,0.0,,0.4030994038438051,0.12999198418678545,0.362630685027928,0,0,0
00000000000000000087_0,KBang,test,108.31662120879498,14.383735645403531,82,1017,3.9927132,3714.876072347164,2911.4369120395304,0,0,0,0,0.0,,0.6486805533218218,0.27497813231495344,0.3061945816015102,0,0,0
00000000000000000076_0,KBang,test,108.45191033475652,14.184846361116684,82,1025,31.969187,3179.5106303691864,2674.302724357361,0,0,0,0,0.0,,0.322657843174988,0.10323632646448719,0.264940580736946,0,0,0
