system:index,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label,rand,slope,.geo
000000000000000003a5,2226.0,1988.0,579.0,636.0,770.0,1562.0,-0.12,0.33962265,862,1,0.05322365940817497,8.757067,"{""type"":""Point"",""coordinates"":[108.33345431527177,13.910905946999291]}"
000000000000000004c3,2389.5,1506.0,456.5,649.5,648.0,2678.5,0.28020075,0.61040133,862,1,0.5866374958880407,11.936224,"{""type"":""Point"",""coordinates"":[108.330221467008,13.909287293316888]}"
00000000000000000495,2231.5,1237.0,489.5,687.5,702.0,2911.0,0.40356797,0.6114033,863,1,0.19521016694143323,14.635545,"{""type"":""Point"",""coordinates"":[108.33076101823546,13.908480196026215]}"
0000000000000000062d,2329.5,1532.0,483.0,639.5,780.0,2325.5,0.20570317,0.49766544,863,1,0.1707462096639515,11.936226,"{""type"":""Point"",""coordinates"":[108.3304890130712,13.90955929848115]}"
00000000000000000412,2368.0,1476.0,418.0,645.0,618.0,2524.0,0.262,0.60662,864,1,0.5952069714902348,11.818653,"{""type"":""Point"",""coordinates"":[108.39085632313277,14.077453371345493]}"
00000000000000000506,2791.0,1828.0,632.0,814.5,1015.5,2304.5,0.115305506,0.388253,864,1,0.35514649172801127,19.29096,"{""type"":""Point"",""coordinates"":[108.33291476404429,13.880722291968514]}"
00000000000000000521,2226.5,1165.0,610.0,782.0,576.5,2965.0,0.43583536,0.67443174,868,1,0.4529597325130721,14.777641,"{""type"":""Point"",""coordinates"":[108.36094467326625,13.95456500541358]}"
0000000000000000061e,3453.0,2661.0,1197.0,1525.0,1777.0,2898.0,0.042633567,0.2397861,869,1,0.7732305518948174,16.143257,"{""type"":""Point"",""coordinates"":[108.30812216218712,13.875603243959157]}"
0000000000000000041d,2990.0,1948.0,657.0,942.0,1196.0,2543.0,0.1324872,0.36025676,871,1,0.6192186526898014,8.342456,"{""type"":""Point"",""coordinates"":[108.33291476404429,13.880454745905308]}"
000000000000000004d8,2660.0,1619.0,579.0,840.0,893.0,3006.0,0.2998919,0.54193383,871,1,0.5831659203550875,8.5007515,"{""type"":""Point"",""coordinates"":[108.39139587436024,14.073680971854282]}"
000000000000000004e8,2060.5,1338.5,414.0,554.0,568.0,2308.5,0.26597202,0.6050756,871,1,0.0729392754039202,6.9140368,"{""type"":""Point"",""coordinates"":[108.3366871635355,14.149949436272419]}"
000000000000000004c4,2373.0,1416.5,634.0,807.5,840.0,2772.5,0.32370493,0.5349481,872,1,0.6853507301310086,18.617914,"{""type"":""Point"",""coordinates"":[108.360672668102,13.95456500541358]}"
00000000000000000504,2789.0,1712.0,629.0,842.0,947.0,2429.0,0.17314658,0.43898106,873,1,0.4209017604144236,3.410038,"{""type"":""Point"",""coordinates"":[108.33291476404429,13.880182740741047]}"
000000000000000003fb,2626.5,1550.5,597.0,727.0,779.5,2798.5,0.2869625,0.5642817,874,1,0.20105449964169253,12.486429,"{""type"":""Point"",""coordinates"":[108.33776626599042,13.914950351654765]}"
000000000000000004f9,2437.5,1445.0,478.5,668.5,702.5,2358.5,0.24017352,0.54099965,874,1,0.06841514022642392,13.141857,"{""type"":""Point"",""coordinates"":[108.29923071468657,13.911985049454223]}"
00000000000000000592,2523.0,1378.0,574.0,764.0,791.0,2269.0,0.2443104,0.48300654,876,1,0.5819909635689432,20.41006,"{""type"":""Point"",""coordinates"":[108.32914236455308,14.182286837112008]}"
000000000000000003a6,2324.5,1754.5,548.0,687.0,851.5,2199.0,0.112432025,0.44173086,877,1,0.7166959723359075,12.028028,"{""type"":""Point"",""coordinates"":[108.33102856429868,13.914138795263039]}"
000000000000000003da,2467.5,1403.0,461.5,663.5,771.0,2432.0,0.26831812,0.5185763,878,1,0.6143234645219174,10.139935,"{""type"":""Point"",""coordinates"":[108.34207821670911,14.148598328653224]}"
000000000000000005d5,2630.0,2116.0,579.0,724.0,896.0,2376.0,0.057880677,0.45232275,878,1,0.7094166158782398,14.398838,"{""type"":""Point"",""coordinates"":[108.32483041383439,13.909019747253684]}"
0000000000000000061b,2056.0,1267.5,514.0,686.5,645.0,2558.0,0.33734152,0.59725255,878,1,0.7115028896662713,29.671917,"{""type"":""Point"",""coordinates"":[108.33480096378989,14.174470032965315]}"
00000000000000000339,1879.0,978.0,366.0,544.0,429.0,2872.0,0.49194804,0.74007875,879,1,0.3395542941373716,6.9075294,"{""type"":""Point"",""coordinates"":[108.32941436971734,13.915217897717971]}"
000000000000000003a4,2909.0,1734.0,541.0,661.0,826.0,2295.0,0.1392405,0.47068247,879,1,0.7814242240787274,7.49099,"{""type"":""Point"",""coordinates"":[108.32698861874425,13.916836551400372]}"
000000000000000003c2,2015.5,1136.5,436.0,594.5,548.5,2656.5,0.4007382,0.6577223,879,1,0.21204232942032197,19.218206,"{""type"":""Point"",""coordinates"":[108.32483041383439,13.875063692731691]}"
000000000000000004b6,2981.5,1857.0,506.0,656.5,937.5,2358.0,0.11886121,0.43104234,879,1,0.5317977964097058,10.139848,"{""type"":""Point"",""coordinates"":[108.32725616480747,13.916564546236112]}"
00000000000000000525,2130.5,1077.5,646.0,816.0,714.5,3001.5,0.47168425,0.61544675,879,1,0.3544214182214259,13.923976,"{""type"":""Point"",""coordinates"":[108.36094467326625,13.954293000249317]}"
00000000000000000603,1598.5,756.0,429.5,573.5,447.5,2939.0,0.5907984,0.7357153,880,1,0.6768897052876408,15.207009,"{""type"":""Point"",""coordinates"":[108.32941436971734,13.914950351654765]}"
00000000000000000416,3087.0,2014.0,655.0,874.0,1150.0,2318.0,0.07017544,0.33679354,881,1,0.4008672816510239,9.863066,"{""type"":""Point"",""coordinates"":[108.34099911425417,14.151024079626296]}"
0000000000000000041a,2179.0,1102.0,456.0,619.0,550.0,3152.0,0.48189938,0.70286334,881,1,0.4757866675803363,3.9268272,"{""type"":""Point"",""coordinates"":[108.32725616480747,13.910905946999291]}"
000000000000000003a3,2854.0,1830.0,539.0,853.0,851.0,2681.0,0.18864997,0.51812005,882,1,0.552962385814668,11.149849,"{""type"":""Point"",""coordinates"":[108.32402331654373,13.90955929848115]}"
000000000000000005cc,2647.0,1453.0,535.0,694.0,795.0,2629.0,0.28809407,0.5356308,882,1,0.5888082895438036,4.240758,"{""type"":""Point"",""coordinates"":[108.3264490675168,13.91710409746358]}"
0000000000000000046a,2785.0,1901.0,668.0,817.5,1019.0,2151.5,0.061813693,0.3571992,883,1,0.29351964129489283,12.543289,"{""type"":""Point"",""coordinates"":[108.31297366413327,13.870212190785542]}"
