system:index,defo,elevation,rand,slope,treecover2000,.geo
000000000000000002c0,0,694,0.5606298582902881,29,58,"{""type"":""Point"",""coordinates"":[108.45487117785603,14.37106733931069]}"
00000000000000000497,0,679,0.49089460721273914,5,59,"{""type"":""Point"",""coordinates"":[108.52359484329175,14.241169266522759]}"
000000000000000000f0,0,569,0.2780893490105787,10,59,"{""type"":""Point"",""coordinates"":[108.52440194058241,14.138222000501855]}"
00000000000000000050,0,776,0.4001723650814003,7,62,"{""type"":""Point"",""coordinates"":[108.59824465402748,14.346002732289275]}"
0000000000000000044d,0,637,0.2598971652405413,8,71,"{""type"":""Point"",""coordinates"":[108.64055260482256,14.159781754095265]}"
000000000000000005fb,0,725,0.7052309578547808,14,71,"{""type"":""Point"",""coordinates"":[108.41579607532469,14.216916215893066]}"
00000000000000000212,0,798,0.31889841063240776,16,71,"{""type"":""Point"",""coordinates"":[108.33791341632521,14.423078293998085]}"
0000000000000000044b,0,876,0.43820431074533295,19,71,"{""type"":""Point"",""coordinates"":[108.43789538014558,14.375111743966162]}"
0000000000000000062e,0,610,0.11630593149407598,3,72,"{""type"":""Point"",""coordinates"":[108.47319808318571,14.149811204139759]}"
000000000000000002bf,0,859,0.5587517540609831,7,72,"{""type"":""Point"",""coordinates"":[108.47211898073077,14.319323930686505]}"
000000000000000002fa,0,1051,0.018439667018565364,9,72,"{""type"":""Point"",""coordinates"":[108.44058867718184,14.4268506934893]}"
00000000000000000508,0,631,0.5606751775866977,9,72,"{""type"":""Point"",""coordinates"":[108.50122353330661,14.061146438793044]}"
00000000000000000082,0,1156,0.026002643691099614,12,72,"{""type"":""Point"",""coordinates"":[108.42199422578898,14.515787464000272]}"
000000000000000001ad,0,779,0.6322283051007086,15,72,"{""type"":""Point"",""coordinates"":[108.33440856289718,14.427662249881026]}"
0000000000000000049b,0,750,0.7090167172512307,16,72,"{""type"":""Point"",""coordinates"":[108.60632900423737,14.305308976075525]}"
000000000000000005a5,0,877,0.21584821544780475,19,72,"{""type"":""Point"",""coordinates"":[108.44975212984667,14.313125780222213]}"
0000000000000000055e,0,646,0.6515044688509221,21,72,"{""type"":""Point"",""coordinates"":[108.53275829595658,14.229312516821645]}"
00000000000000000240,0,654,0.42855963441165945,26,72,"{""type"":""Point"",""coordinates"":[108.57345205217032,14.243055466268366]}"
00000000000000000089,0,817,0.09578905894780632,7,74,"{""type"":""Point"",""coordinates"":[108.33117571463345,14.394780838712915]}"
0000000000000000033e,0,739,0.5169145690994308,8,74,"{""type"":""Point"",""coordinates"":[108.41148412460602,14.209910968138102]}"
00000000000000000356,0,567,0.2222418787053856,9,74,"{""type"":""Point"",""coordinates"":[108.53006053981923,14.181613512852936]}"
