system:index,defo,district,elevation,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo
00000000000000000050_0,0,KBang,776,0,0,0,14.346002732289275,108.59824465402748,0,0,773,5.4383826,3139.498244166374,2607.9216171444064,0.4001723650814003,7,train,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044d_0,0,KBang,637,0,0,0,14.159781754095265,108.64055260482256,0,0,641,7.4392433,2827.968597881496,2459.472389055322,0.2598971652405413,8,train,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fb_0,0,KBang,725,0,0,0,14.216916215893066,108.41579607532469,0,0,717,15.872992,3484.5955844521523,2837.824403122823,0.7052309578547808,14,train,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000212_0,0,KBang,798,0,0,0,14.423078293998085,108.33791341632521,0,0,788,14.742411,3774.6228857189417,2999.9198697531438,0.31889841063240776,16,train,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044b_0,0,KBang,876,0,0,1,14.375111743966162,108.43789538014558,1,2015,889,20.720203,3307.1987401247025,2646.067406310553,0.43820431074533295,19,train,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062e_0,0,KBang,610,0,0,1,14.149811204139759,108.47319808318571,1,2013,612,8.500891,3364.3139811381698,2879.1407314955827,0.11630593149407598,3,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bf_0,0,KBang,859,0,0,0,14.319323930686505,108.47211898073077,0,0,862,8.2912445,3410.552547223866,2766.438409104254,0.5587517540609831,7,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fa_0,0,KBang,1051,0,0,1,14.4268506934893,108.44058867718184,1,2017,1051,8.603718,3056.5912619680166,2430.7695342178336,0.018439667018565364,9,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000508_0,0,KBang,631,0,0,0,14.061146438793044,108.50122353330661,0,0,637,21.01386,3250.9848297685385,2783.4902848679035,0.5606751775866977,9,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0,0,KBang,1156,0,0,1,14.515787464000272,108.42199422578898,1,2015,1156,12.208758,2982.197799295187,2381.099704130859,0.026002643691099614,12,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ad_0,0,KBang,779,0,0,0,14.427662249881026,108.33440856289718,0,0,781,8.292078,3774.6228857189417,2999.9198697531438,0.6322283051007086,15,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049b_0,0,KBang,750,0,0,1,14.305308976075525,108.60632900423737,1,2015,756,5.518803,2904.3306356593966,2447.77248901683,0.7090167172512307,16,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a5_0,0,KBang,877,0,0,0,14.313125780222213,108.44975212984667,0,0,886,11.150402,3878.7206017300487,3091.2550926978347,0.21584821544780475,19,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055e_0,0,KBang,646,0,0,0,14.229312516821645,108.53275829595658,0,0,630,14.564257,3132.6109425723553,2663.5936415282367,0.6515044688509221,21,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000240_0,0,KBang,654,0,0,0,14.243055466268366,108.57345205217032,0,0,654,26.09568,2988.904823511839,2527.354326276477,0.42855963441165945,26,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,0,KBang,817,0,0,0,14.394780838712915,108.33117571463345,0,0,815,9.301656,3714.876072347164,2911.4369120395304,0.09578905894780632,7,train,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033e_0,0,KBang,739,0,0,0,14.209910968138102,108.41148412460602,0,0,739,8.011904,3484.5955844521523,2837.824403122823,0.5169145690994308,8,train,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000356_0,0,KBang,567,0,0,1,14.181613512852936,108.53006053981923,1,2013,567,9.246014,2927.8332602009177,2497.137565198986,0.2222418787053856,9,train,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000050b_0,0,KBang,573,0,0,0,14.145231707357869,108.55215984464012,0,0,574,2.9397013,2848.0301147326827,2458.056594692424,0.32215383719005464,9,train,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097_0,0,KBang,829,0,0,0,14.244406573887561,108.44032113111865,0,0,829,18.775116,3484.5955844521523,2837.824403122823,0.03688407864898613,19,train,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003fb_0,0,KBang,969,0,0,0,14.432513751827175,108.32201226196862,0,0,984,21.301723,3774.6228857189417,2999.9198697531438,0.061553479788534315,27,train,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000129_0,0,KBang,941,0,0,0,14.244406573887561,108.40043447219557,0,0,950,25.090063,3484.5955844521523,2837.824403122823,0.5904143725951637,31,train,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000057f_0,0,KBang,834,0,0,1,14.367022934655212,108.3319828119241,1,2003,835,6.014487,3714.876072347164,2911.4369120395304,0.2533683336036858,8,train,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b_0,0,KBang,904,0,0,1,14.35301243914529,108.49367873432418,1,2008,904,9.38563,3174.5908024162054,2515.3602785260928,0.7751069997266254,9,train,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000448_0,0,KBang,1259,0,0,0,14.592591020544827,108.38911727372192,0,0,1258,12.193775,3121.39150339365,2463.6619402850083,0.3888168596959699,10,train,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
