system:index,defo,district,elevation,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label
000000000000000005e5_0,0.0,KBang,494.0,0,0,0,14.199940418182598,108.53599114422032,0,0,497,8.877376,3132.6109425723557,2663.5936415282367,0.2087375570273514,4.0,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000269_0,0.0,KBang,1132.0,0,1,0,14.507431108626118,108.4389744826005,1,2022,1132,6.9241805,2982.197799295187,2381.099704130859,0.3515723356671381,7.0,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000246_0,0.0,KBang,473.0,0,0,0,14.178648210652396,108.56806099899671,0,0,469,3.413163,2894.3183166086674,2468.456626371072,0.5057172638235554,8.0,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000446_0,0.0,KBang,929.0,0,1,0,14.390740893158494,108.42091512333404,0,2022,929,6.357326,3307.1987401247025,2646.067406310553,0.7303989431690716,6.0,train,58,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000387_0,0.0,KBang,770.0,0,0,0,14.248446519441984,108.46403463052086,0,0,772,8.642388,3116.021737858653,2587.275775269555,0.4807734530105142,10.0,train,58,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000056b_0,0.0,KBang,939.0,0,0,0,14.068423691712264,108.51038698597142,0,0,938,18.63828,3250.9848297685385,2783.4902848679035,0.0235913350015513,20.0,train,58,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000002c0_0,0.0,KBang,694.0,0,0,0,14.37106733931069,108.45487117785603,0,0,716,32.584053,3174.5908024162054,2515.3602785260928,0.5606298582902881,29.0,train,58,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000497_0,0.0,KBang,679.0,0,0,0,14.24116926652276,108.52359484329176,0,0,683,1.8543341,3132.6109425723557,2663.5936415282367,0.4908946072127391,5.0,train,59,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000000f0_0,0.0,KBang,569.0,0,0,0,14.138222000501855,108.5244019405824,0,0,566,9.894531,3335.206618718803,2843.7770705979806,0.2780893490105787,10.0,train,59,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000050_0,0.0,KBang,776.0,0,0,0,14.346002732289277,108.59824465402748,0,0,773,5.4383826,3139.498244166374,2607.9216171444064,0.4001723650814003,7.0,train,62,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000044d_0,0.0,KBang,637.0,0,0,0,14.159781754095263,108.64055260482256,0,0,641,7.4392433,2827.968597881496,2459.472389055322,0.2598971652405413,8.0,train,71,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000005fb_0,0.0,KBang,725.0,0,0,0,14.216916215893066,108.41579607532468,0,0,717,15.872992,3484.5955844521523,2837.824403122823,0.7052309578547808,14.0,train,71,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000212_0,0.0,KBang,798.0,0,0,0,14.423078293998085,108.3379134163252,0,0,788,14.742411,3774.6228857189417,2999.919869753144,0.3188984106324077,16.0,train,71,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000044b_0,0.0,KBang,876.0,0,0,1,14.375111743966162,108.43789538014558,1,2015,889,20.720203,3307.1987401247025,2646.067406310553,0.4382043107453329,19.0,train,71,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000062e_0,0.0,KBang,610.0,0,0,1,14.14981120413976,108.47319808318572,1,2013,612,8.500891,3364.3139811381698,2879.1407314955827,0.1163059314940759,3.0,train,72,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
